| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            |           ART_NO | AUTHID                                                                       | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST            | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | CAS_REG_NO             | CODEN   | CONCEPT_NORM                   | CONCEPT_RAW                    |   CONF_CODE | CONF_DATE                      | CONF_LOC        | CONF_NAME                      | CORRESPOND_ADDR                | CTRY                          | CTRY_FIRST    | CTRY_ISO3          | CTRY_ISO3_FIRST   | DATABASE   | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DOCTYPE          | DOI                            | EDITOR                         | EID                 | FUND_DET                       |   FUND_SPONS | FUND_TXT                       | GCR_FREE_TEXT                  |   GCR_WOS_FORMAT |   GCS | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISBN                           | ISSN     |   ISSUE | KW_NORM                        | KW_TOK                         | LANG    |   LCR_WOS_FORMAT |   LCS |   MANUFACTURER | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORG                                                                             | ORG_FIRST                      |   PG_FIRST | PG_LAST   | PUBLISHER                      |        PUBMED | PUBSTAGE         | REC_ID                                             |   REC_NO | REC_SHORT_NAME             | REGION                 | SCOPUS_LINK                    | SRC                            | SRC_ISO4                       | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   TRADENAME |   VOL | WORD_NORM                      | WORD_RAW                       |   YEAR |
| Purpose: The purpose of this p | purpose : the purpose of this  | purpose : the_purpose_of_this_ | School of Business Administration, Guangdong University of Finance and Economics |    nan           | 57192181964; 57203242544                                                     | digitization; innovation resul | digitization; innovation resul | digitization; innovation resul | Huiping Z             | Zhou Huiping; Yang Yuxin       | Huiping Z; Yuxin Y             | Huiping Z; Yuxin Y             | Huiping Z., School of Business Administration, Guangdong University of Finance a | nan                    | nan     | architectural knowledge; archi | architectural knowledge; archi |         nan | nan                            | nan             | nan                            | Z. Huiping; School of Business | China                         | China         | CHN                | CHN               | Scopus     | analysis; architectural; archi | analysis; architectural; archi | Article          | 10.1108/K-11-2021-1188         | nan                            | 2-s2.0-85131524775  | Social Science Planning of Gua |          nan | Funding: This work was support | Barlas Y., Multiple tests for  |              nan |     7 | couplings; dynamics; architect | couplings; dynamics; architect | couplings; dynamics; architect | nan                            | 0368492X |      10 | architectural knowledge; coupl | architectural knowledge; coupl | English |              nan |     0 |            nan | system dynamics model; dynamic | architectural knowledge coupli | architectural knowledge coupli | architectural knowledge; compl | knowledge coupling; innovation |        2 |       0 |       0 | nan                            | GUANGDONG UNIV FINANC ECON                                                      | GUANGDONG UNIV FINANC ECON     |       4322 | 4339      | Emerald Publishing             | nan           | Final            | Huiping Z, 2023, KYBERNETES, V52, P4322, DOI 10.11 |       10 | Huiping Z 2023             | Asia                   | https://www.scopus.com/pages/p | KYBERNETES                     | KYBERNETES                     | Eastern Asia                   | Research on the mechanism of k | research on the mechanism of k | research_on the_mechanism_of K |         nan |    52 | analysis; architectural; capab | analysis; architectural; capab |   2023 |
| A decoupling point is a bounda | a decoupling point is a bounda | a DECOUPLING_POINT is a BOUNDA | Yonsei University School of Business, Yonsei University, South Korea; Defense Ma |    nan           | 22934956100; 59768178200; 8913157700                                         | decoupling point; inventory lo | decoupling point; inventory lo | decoupling point; inventory lo | Min S                 | Soonhong Min; Taejoo Kim; Seon | Min S; Kim T; Moon S           | Min S; Kim T; Moon S           | Min S., Yonsei University School of Business, Yonsei University, South Korea; Ki | nan                    | nan     | ammunition spikes; boundary; c | ammunition spikes; boundary; c |         nan | nan                            | nan             | nan                            | S. Moon; Defense Management, K | South Korea                   | South Korea   | KOR                | KOR               | Scopus     | access; activities; ammunition | access; activities; ammunition | Article          | 10.7232/iems.2025.24.1.029     | nan                            | 2-s2.0-105004230237 | Yonsei Business Research Insti |          nan | This work was supported by Yon | Agarwal A.; Shankar R.; Tiwari |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 15987248 |       1 | decoupling point; inventory lo | decoupling point; inventory lo | English |              nan |     0 |            nan | decoupling point; boundary; in | ammunition spikes; boundary; c | 2025 kiie; ammunition spikes;  | ammunition spikes; chain decis | decoupling points; military su |        3 |       0 |       0 | nan                            | KOREA NATL DEF UNIV; YONSEI UNIV SCH BUS                                        | YONSEI UNIV SCH BUS            |         29 | 41        | Korean Institute of Industrial | nan           | Final            | Min S, 2025, IND ENG MANAG SYST, V24, P29, DOI 10. |       11 | Min S 2025                 | Asia                   | https://www.scopus.com/pages/p | INDUSTRIAL ENGINEERING AND MAN | IND ENG MANAG SYST             | Eastern Asia                   | A Study on Determining Decoupl | a study on determining decoupl | a study on determining DECOUPL |         nan |    24 | access; activities; ammunition | access; activities; ammunition |   2025 |
| Geographically, the Mentawai I | geographically , the mentawai  | geographically , the mentawai  | Disaster Management Study Program, National Security Faculty, Republic of Indone |   7004           | 58069895700; 57221814990; 58299676200; 58069778500                           | nan                            | nan                            | nan                            | nan                   | nan                            | nan                            | nan                            | Aprilyanto, Disaster Management Study Program, National Security Faculty, Republ | nan                    | nan     | disasters; earthquake; model;  | disasters; earthquake; model;  |      185567 | 30 September 2021 through 1 Oc | Padang          | 2021 International Conference  | Aprilyanto; Disaster Managemen | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | disasters; dynamics; earthquak | disasters; dynamics; earthquak | Conference paper | 10.1051/e3sconf/202133107004   | Comfort L.; Saravanan S.; Seng | 2-s2.0-85146441314  | nan                            |          nan | nan                            | Akhirianto N.A.; Sains Dan Tek |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 25550403 |     nan | nan                            | nan                            | English |              nan |     0 |            nan | nan                            | disasters; earthquake; model;  | 2010 earthquake; 24 years; 57  | building growth; creative comm | model; system dynamics; potent |        0 |       0 |       0 | All Open Access; Gold Open Acc | REPUB INDONES DEF UNIV                                                          | REPUB INDONES DEF UNIV         |        nan | nan       | EDP Sciences                   | nan           | Final            | [Anonymous], 2021, E3S WEB CONF, V331, DOI 10.1051 |       12 | nan 2021                   | Asia                   | https://www.scopus.com/pages/p | E3S WEB OF CONFERENCES         | E3S WEB CONF                   | South-Eastern Asia             | Model system dynamics potentia | model system dynamics potentia | MODEL SYSTEM_DYNAMICS POTENTIA |         nan |   331 | disasters; dynamics; earthquak | disasters; dynamics; earthquak |   2021 |
| Objectives: Paying for the inn | objectives : paying for the in | objectives : paying for the IN | Department of Health Technology Assessment, Shanghai Health Development Research |      1.47486e+06 | 59539959100; 58244362900; 59540124400; 56597338300; 57212217399              | drug prices; innovation premiu | drug prices; innovation premiu | drug prices; innovation premiu | Xing Q                | Qian Xing; Wendi Cheng; Wei Wa | Xing Q; Cheng W; Wang W/2; Jin | Xing Q; Cheng W; Wang W/2; Jin | Xing Q., Department of Health Technology Assessment, Shanghai Health Development | nan                    | nan     | action; article; clinical outc | action; article; clinical outc |         nan | nan                            | nan             | nan                            | H. Wang; Department of Health  | China                         | China         | CHN                | CHN               | Scopus     | action; analysis; article; car | action; analysis; article; car | Article          | 10.3389/fphar.2025.1474856     | nan                            | 2-s2.0-85216727688  | Shanghai Health Development Re |          nan | The author(s) declare that fin | Angelis A.; Harker M.; Cairns  |              nan |     2 | article; computer simulation;  | article; computer simulation;  | article; computer simulation;  | nan                            | 16639812 |     nan | article; computer simulation;  | article; computer simulation;  | English |              nan |     0 |            nan | innovative value; drugs; healt | action; clinical outcomes; com | 5 years; action; cheng; clinic | clinical outcomes; combination | drivers; innovation value; sim |        5 |       0 |       0 | All Open Access; Gold Open Acc | SHANGHAI HEAL DEV RES CENT                                                      | SHANGHAI HEAL DEV RES CENT     |        nan | nan       | Frontiers Media SA             | nan           | Final            | Xing Q, 2025, PHARMACOL, V16, DOI 10.3389/fphar.20 |       13 | Xing Q 2025                | Asia                   | https://www.scopus.com/pages/p | FRONTIERS IN PHARMACOLOGY      | PHARMACOL                      | Eastern Asia                   | Drivers of innovation value: s | drivers of innovation value :  | DRIVERS of INNOVATION_VALUE :  |         nan |    16 | action; analysis; article; car | action; analysis; article; car |   2025 |
| In Ecuador, the growth of the  | in ecuador , the growth of the | in ECUADOR , the growth of the | Facultad de Ingeniería y Ciencias Aplicadas, Universidad Central del Ecuador, Av |   6640           | 59251661100; 57207308059; 56734335300; 57209318192; 57193956252; 59252296600 | dynamic simulation; energy dem | dynamic simulation; energy dem | dynamic simulation; energy dem | Atiaja J              | Johana Atiaja; Flavio Arroyo;  | Atiaja J; Arroyo F; Hidalgo V; | Atiaja J; Arroyo F; Hidalgo V; | Atiaja J., Facultad de Ingeniería y Ciencias Aplicadas, Universidad Central del  | nan                    | nan     | challenges; co2 emissions; cou | challenges; co2 emissions; cou |         nan | nan                            | nan             | nan                            | F. Arroyo; Facultad de Ingenie | Ecuador                       | Ecuador       | ECU                | ECU               | Scopus     | aligns; challenges; co2; co2 e | aligns; challenges; co2; co2 e | Article          | 10.3390/su16156640             | nan                            | 2-s2.0-85200796636  | nan                            |          nan | nan                            | Manuguerra L.; Cappelletti F.; |              nan |     7 | ecuador; demand-side managemen | ecuador; demand-side managemen | ecuador; demand-side managemen | nan                            | 20711050 |      15 | demand-side management; dynami | demand-side management; dynami | English |              nan |     0 |            nan | ecuador; transportation sector | challenges; co2 emissions; cou | authors; challenges; co2 emiss | co2 emissions; dynamic simulat | dynamic simulation; energy sce |        6 |       0 |       0 | All Open Access; Gold Open Acc | UNIV CENT DEL ECUAD; [UNKNOWN]                                                  | UNIV CENT DEL ECUAD            |        nan | nan       | Multidisciplinary Digital Publ | nan           | Final            | Atiaja J, 2024, SUSTAIN, V16, DOI 10.3390/su161566 |       14 | Atiaja J 2024              | Americas               | https://www.scopus.com/pages/p | SUSTAINABILITY (SWITZERLAND)   | SUSTAIN                        | Latin America and The Caribbea | Dynamic Simulation of Energy S | dynamic simulation of energy s | DYNAMIC_SIMULATION of ENERGY_S |         nan |    16 | aligns; challenges; co2; contr | aligns; challenges; co2; contr |   2024 |
| In this research, System Dynam | in this research , system dyna | in_this_research , SYSTEM_DYNA | Soil Conservation and Watershed Management Research Department, Lorestan Agricul |    nan           | 56960498200; 35230074800; 8505681500; 55665199500; 59675149300               | cause-effect diagram; conceptu | cause–effect diagram; conceptu | cause-effect diagram; conceptu | Sangchini EK          | Ebrahim Karimi Sangchini; Maji | Sangchini EK; Ownegh M; Sadodd | Sangchini EK; Ownegh M; Sadodd | Sangchini E.K., Soil Conservation and Watershed Management Research Department,  | nan                    | nan     | agricultural water use efficie | agricultural water use efficie |         nan | nan                            | nan             | nan                            | E.K. Sangchini; Soil Conservat | Iran                          | Iran          | IRN                | IRN               | Scopus     | acceptance; activities; agricu | acceptance; activities; agricu | Article          | 10.52547/jwmr.12.23.119        | nan                            | 2-s2.0-105018613320 | nan                            |          nan | nan                            | Barati A.K.; Azadi H.; Scheffr |              nan |     2 | nan                            | nan                            | nan                            | nan                            | 22516174 |      23 | cause-effect diagram; conceptu | cause-effect diagram; conceptu | Persian |              nan |     0 |            nan | system dynamics; modeling; sus | agricultural water use efficie | 30_year period show; 46 percen | 30_year period show; agricultu | developing; integrated managem |        5 |       0 |       0 | All Open Access; Gold Open Acc | GORGAN UNIV AGRIC SCI NAT RESOUR; UNIV TABRIZ; [UNKNOWN]                        | [UNKNOWN]                      |        119 | 129       | Sari Agricultural Sciences and | nan           | Final            | Sangchini EK, 2021, J WATERSHED MANAG RES, V12, P1 |       15 | Sangchini EK 2021          | Asia                   | https://www.scopus.com/pages/p | JOURNAL OF WATERSHED MANAGEMEN | J WATERSHED MANAG RES          | Southern Asia                  | Developing a Model for the Int | developing a model for the int | DEVELOPING a model for the INT |         nan |    12 | acceptance; activities; agricu | acceptance; activities; agricu |   2021 |
| COVID-19 has caused great loss | covid_19 has caused great loss | covid 19 has caused great loss | School of Management Science and Engineering, Shandong Technology and Business U |    nan           | 56048681300                                                                  | colleges and universities; eme | colleges and universities; eme | colleges and universities; eme | Dong Y                | Yu Dong                        | Dong Y                         | Dong Y                         | Dong Y., School of Management Science and Engineering, Shandong Technology and B | nan                    | nan     | analysis; analytic hierarchy p | analysis; analytic hierarchy p |      199915 | 24 November 2023 through 26 No | Chengdu         | 2023 3rd International Confere | Y. Dong; School of Management  | China                         | China         | CHN                | CHN               | Scopus     | ability; analysis; analytic; a | ability; analysis; analytic; a | Conference paper | 10.1145/3656766.3656910        | nan                            | 2-s2.0-85195260243  | Shandong Province Key R&D Plan |          nan | This work was financially supp | Luman N., Risk Sociology [M],  |              nan |     0 | civil defense; computer softwa | civil defense; computer softwa | civil defense; computer softwa | 979-840071647-8                | nan      |     nan | civil defense; colleges and un | civil defense; colleges and un | English |              nan |     0 |            nan | people; life safety; property; | analysis; analytic hierarchy p | 2023 acm; analysis; analytic h | analytic hierarchy process; co | analysis; risk evolution mecha |        1 |       0 |       0 | nan                            | SHANDONG TECHNOL BUS UNIV                                                       | SHANDONG TECHNOL BUS UNIV      |        870 | 876       | Association for Computing Mach | nan           | Final            | Dong Y, 2023, ACM INT CONF PROC SER, P870, DOI 10. |       16 | Dong Y 2023                | Asia                   | https://www.scopus.com/pages/p | ACM INTERNATIONAL CONFERENCE P | ACM INT CONF PROC SER          | Eastern Asia                   | Analysis on Risk Evolution Mec | analysis on risk evolution mec | ANALYSIS on RISK_EVOLUTION_MEC |         nan |   nan | ability; analysis; analytic; a | ability; analysis; analytic; a |   2023 |
| This study aims to develop a s | this study aims to develop a s | this_study_aims_to develop a S | Department of Agro-industrial Technology, Faculty of Agricultural Technology, Br |    nan           | 59967968300; 60232037800; 36621484400                                        | blockchain; food safety; halal | blockchain; food safety; halal | blockchain; food safety; halal | Kurniawan M           | Miftakhurrizal Kurniawan; Supa | Kurniawan M; Suparno S; Vanany | Kurniawan M; Suparno S; Vanany | Kurniawan M., Department of Agro-industrial Technology, Faculty of Agricultural  | nan                    | nan     | agriculture; approach addresse | agriculture; approach addresse |         nan | nan                            | nan             | nan                            | M. Kurniawan; Department of Ag | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | addresses; agriculture; approa | addresses; agriculture; approa | Article          | 10.59038/jjmie/190407          | nan                            | 2-s2.0-105032074380 | nan                            |          nan | nan                            | Rahman M.M.; Ahmad Z.; Mustafa |              nan |     0 | agriculture; digital storage;  | agriculture; digital storage;  | agriculture; digital storage;  | nan                            | 19956665 |       4 | agriculture; blockchain; digit | agriculture; blockchain; digit | English |              nan |     0 |            nan | system dynamics model; halal s | approach addresses; blockchain | 2025 jordan journal; approach; | approach addresses; blockchain | halal supply chain traceabilit |        3 |       0 |       0 | All Open Access; Bronze Open A | BRAWIJAYA UNIV; INST TEKNOL SEPULUH NOVEMB                                      | BRAWIJAYA UNIV                 |        775 | 784       | Hashemite University           | nan           | Final            | Kurniawan M, 2025, JORDAN J MECH IND ENG, V19, P77 |       17 | Kurniawan M 2025           | Asia                   | https://www.scopus.com/pages/p | JORDAN JOURNAL OF MECHANICAL A | JORDAN J MECH IND ENG          | South-Eastern Asia             | Halal Supply Chain Traceabilit | halal supply chain traceabilit | HALAL_SUPPLY_CHAIN_TRACEABILIT |         nan |    19 | addresses; agriculture; approa | addresses; agriculture; approa |   2025 |
| The aim of this research is to | the aim of this research is to | the_aim_of_this_research is to | School of Civil Engineering, College of Engineering, University of Tehran, Tehra |    nan           | 57222075642; 35617579700                                                     | climate change; karoun river;  | climate change; karoun river;  | climate change; karoun river;  | Ganji F               | Fatemeh Ganji; Mohsen Nasseri  | Ganji F; Nasseri M             | Ganji F; Nasseri M             | Ganji F., School of Civil Engineering, College of Engineering, University of Teh | nan                    | ESPLE   | agricultural demand; agricultu | agricultural demand; agricultu |         nan | nan                            | nan             | nan                            | M. Nasseri; School of Civil En | Iran                          | Iran          | IRN                | IRN               | Scopus     | agricultural; agricultural dem | agricultural; agricultural dem | Article          | 10.1007/s11356-021-12773-5     | nan                            | 2-s2.0-85101264196  | Water Institute of Tehran Univ |          nan | We would like to thank the Wat | Ahmadi A.; Nasseri M., Do dire |              nan |    20 | climate change; iran; rivers;  | climate change; iran; rivers;  | climate change; iran; rivers;  | nan                            | 09441344 |      24 | climate change; iran; karoun r | climate change; iran; karoun r | English |              nan |     0 |            nan | climate change; comprehensive  | agricultural demand; agricultu | 15_year average; a1b emission  | 15_year average; a1b emission  | system dynamics approaches; cl |        2 |       0 |       0 | nan                            | UNIV TEHRAN                                                                     | UNIV TEHRAN                    |      31327 | 31339     | Springer Science and Business  |   3.35999e+07 | Final            | Ganji F, 2021, ENV SCI POLLUT RES, V28, P31327, DO |       18 | Ganji F 2021               | Asia                   | https://www.scopus.com/pages/p | ENVIRONMENTAL SCIENCE AND POLL | ENV SCI POLLUT RES             | Southern Asia                  | System dynamics approaches to  | system dynamics approaches to  | SYSTEM_DYNAMICS_APPROACHES to_ |         nan |    28 | agricultural; ahvaz; approache | agricultural; ahvaz; approache |   2021 |
| Goal: This paper analyzes the  | goal : this paper analyzes the | goal : this_paper_analyzes the | Universitas Gadjah Mada (UGM), Yogyakarta, Indonesia                             |   2391           | 58283632100; 6506362137; 9846464900; 57205098843                             | indonesia; industrial estate;  | indonesia; industrial estate;  | indonesia; industrial estate;  | Musyarofah SA         | Siti Afiani Musyarofah; Alva E | Musyarofah SA; Tontowi AE; Mas | Musyarofah SA; Tontowi AE; Mas | Musyarofah S.A., Universitas Gadjah Mada (UGM), Yogyakarta, Indonesia; Tontowi A | nan                    | nan     | because and effect relationshi | because and effect relationshi |         nan | nan                            | nan             | nan                            | A.E. Tontowi; Universitas Gadj | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | analyzes; because and effect r | analyzes; because and effect r | Article          | 10.14488/BJOPM.2391.2025       | nan                            | 2-s2.0-105007806789 | nan                            |          nan | nan                            | Aggeri F., Industrial eco-park |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 16798171 |       1 | indonesia; industrial estate;  | indonesia; industrial estate;  | English |              nan |     0 |            nan | industrial estate; readiness;  | because and effect relationshi | addition; aspects; boundary se | associacao brasileira; boundar | qualitative system dynamics mo |        4 |       0 |       0 | All Open Access; Gold Open Acc | UNIV GADJAH MADA                                                                | UNIV GADJAH MADA               |        nan | nan       | Associacao Brasileira de Engen | nan           | Final            | Musyarofah SA, 2025, BRAZ J OPER PROD MANAG, V22,  |       19 | Musyarofah SA 2025         | Asia                   | https://www.scopus.com/pages/p | BRAZILIAN JOURNAL OF OPERATION | BRAZ J OPER PROD MANAG         | South-Eastern Asia             | Qualitative system dynamics mo | qualitative system dynamics mo | QUALITATIVE_SYSTEM_DYNAMICS_MO |         nan |    22 | analyzes; boundary; causal; ch | analyzes; boundary; causal; ch |   2025 |
| [Purpose/Significance] Public  | [ purpose / significance ] pub | [ purpose / significance ] PUB | Research Center of Information Resources Management, Heilongjiang University, Ha |    nan           | 60082962800; 36681360000; 60144052900                                        | public data; resilience govern | public data; resilience govern | public data; resilience govern | Zou C                 | Chunlong Zou; Haiqun Ma; Jin W | Zou C; Ma H/1; Wang J/3        | Zou C; Ma H/1; Wang J/3        | Zou C., Research Center of Information Resources Management, Heilongjiang Univer | nan                    | nan     | collaborative development; con | collaborative development; con |         nan | nan                            | nan             | nan                            | C. Zou; Research Center of Inf | China                         | China         | CHN                | CHN               | Scopus     | analysis; collaborative; colla | analysis; collaborative; colla | Article          | 10.13266/j.issn.0252-3116.2024 | nan                            | 2-s2.0-105019553810 | National Social Science Fund o |          nan | ?This work is supported by the | YUAN L; YAO L Y., The integrat |              nan |     5 | nan                            | nan                            | nan                            | nan                            | 02523116 |       3 | public data; resilience govern | public data; resilience govern | Chinese |              nan |     0 |            nan | public data; content; security | collaborative development; con | 2024 lis press co; amount; bas | amount; collaboration system;  | system dynamics analysis; publ |        3 |       0 |       0 | nan                            | HARBIN UNIV SCI TECHNOL; HEILONGJIANG UNIV                                      | HEILONGJIANG UNIV              |          3 | 14        | LIS Press Co., Ltd             | nan           | Final            | Zou C, 2024, LIBR SERV, V68, P3, DOI 10.13266/j.is |       20 | Zou C 2024                 | Asia                   | https://www.scopus.com/pages/p | LIBRARY AND INFORMATION SERVIC | LIBR SERV                      | Eastern Asia                   | System Dynamics Analysis of Pu | system dynamics analysis of pu | SYSTEM_DYNAMICS_ANALYSIS of PU |         nan |    68 | analysis; collaborative; const | analysis; collaborative; const |   2024 |
| In the Papua region, the expan | in the papua region , the expa | in the papua REGION , the expa | Faculty of Agriculture, Graduate School, Hasanuddin University, Merauke, Indones |    nan           | 57205345741; 58620469400; 57200574422; 60242319400                           | dynamical system; moratorium;  | dynamical system; moratorium;  | dynamical system; moratorium;  | nan                   | nan                            | nan                            | nan                            | David O.S., Faculty of Agriculture, Graduate School, Hasanuddin University, Mera | nan                    | nan     | accuracy; actual data; affecte | accuracy; actual data; affecte |         nan | nan                            | nan             | nan                            | O.S. David; Faculty of Agricul | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | accuracy; actual; actual data; | accuracy; actual; actual data; | Article          | 10.18697/ajfand.123.23370      | nan                            | 2-s2.0-85172377012  | Ministry of Education, Culture |          nan | Funding text 1: The authors ar | Paul M; Jr T; Molua EL; Albert |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 16845358 |       8 | dynamical system; moratorium;  | dynamical system; moratorium;  | English |              nan |     0 |            nan | region; oil industry; affected | accuracy; actual data; affecte | 1 million metric tons; absolut | absolute percentage error; act | policy strategies; planning ad |        0 |       0 |       0 | All Open Access; Gold Open Acc | HASANUDDIN UNIV; MUSAMUS UNIV                                                   | HASANUDDIN UNIV                |      24317 | 24345     | African Scholarly Science Comm | nan           | Final            | [Anonymous], 2023, AFR J FOOD AGRIC NUTR DEV, V23, |       21 | nan 2023                   | Asia                   | https://www.scopus.com/pages/p | AFRICAN JOURNAL OF FOOD, AGRIC | AFR J FOOD AGRIC NUTR DEV      | South-Eastern Asia             | POLICY STRATEGIES IN PLANNING  | policy strategies in planning  | POLICY_STRATEGIES in PLANNING_ |         nan |    23 | accuracy; actual; adaptation;  | accuracy; actual; adaptation;  |   2023 |
| Aiming at the problems of info | aiming at the problems of info | aiming at the_problems_of INFO | School of Economics and Management, Fuzhou University, Fujian, Fuzhou, 350116, C |    nan           | 57219184794; 57143490600                                                     | bullwhip effect; clothing supp | bullwhip effect; clothing supp | bullwhip effect; clothing supp | Shao B                | Bo Shao; Chong Ye              | Shao B; Ye C                   | Shao B; Ye C                   | Shao B., School of Economics and Management, Fuzhou University, Fujian, Fuzhou,  | nan                    | nan     | bullwhip effect; clothing supp | bullwhip effect; clothing supp |         nan | nan                            | nan             | nan                            | C. Ye; School of Economics and | China                         | China         | CHN                | CHN               | Scopus     | asymmetry; bullwhip; bullwhip  | asymmetry; bullwhip; bullwhip  | Article          | 10.19333/j.mfkj.20201204107    | nan                            | 2-s2.0-85134755431  | nan                            |          nan | nan                            | STERMAN J., Modelling manageri |              nan |     0 | nan                            | nan                            | nan                            | nan                            | 10031456 |      11 | bullwhip effect; clothing supp | bullwhip effect; clothing supp | Chinese |              nan |     0 |            nan | information asymmetry; invento | bullwhip effect; delay period; | 2021 quanguo maofang keji xinx | analyze zara; bullwhip effect; | bullwhip effect; supply chain; |        2 |       0 |       0 | nan                            | FUZHOU UNIV                                                                     | FUZHOU UNIV                    |         94 | 100       | Quanguo Maofang Keji Xinxi Zho | nan           | Final            | Shao B, 2021, WOOL TEXT J, V49, P94, DOI 10.19333/ |       22 | Shao B 2021                | Asia                   | https://www.scopus.com/pages/p | WOOL TEXTILE JOURNAL           | WOOL TEXT J                    | Eastern Asia                   | Research on bullwhip effect of | research on bullwhip effect of | research_on BULLWHIP_EFFECT of |         nan |    49 | asymmetry; bullwhip; chain; cl | asymmetry; bullwhip; chain; cl |   2021 |
| Table functions, also referred | table functions , also referre | TABLE_FUNCTIONS , also referre | UNSW Business School, University of New South Wales, Sydney, 2052, NSW, Australi |    nan           | 57205335608; 6603611305                                                      | nan                            | nan                            | nan                            | Ríos-Ocampo J         | Juan Ríos-Ocampo; Michael Shay | Ríos-Ocampo J; Gary MS         | Ríos-Ocampo J; Gary MS         | Ríos-Ocampo J., UNSW Business School, University of New South Wales, Sydney, 205 | nan                    | nan     | analytical equation; analytica | analytical equation; analytica |         nan | nan                            | nan             | nan                            | J. Ríos-Ocampo; UNSW Business  | Australia                     | Australia     | AUS                | AUS               | Scopus     | analysis; analytical; analytic | analysis; analytical; analytic | Article          | 10.1002/sdr.1718               | nan                            | 2-s2.0-85137774804  | Australian University Libraria |          nan | Funding text 1: We thank Jose  | Al-Eideh B.M.; Al-Omar H.O., P |              nan |     3 | equation; numerical model; sen | equation; numerical model; sen | equation; numerical model; sen | nan                            | 08837066 |       4 | equation; numerical model; sen | equation; numerical model; sen | English |              nan |     0 |            nan | table functions; graphical fun | analytical equation; analytica | analytical equation; analytica | analytical equation; analytica | analytical equations; nonlinea |        2 |       0 |       0 | All Open Access; Green Open Ac | UNIV NEW SOUTH WALES                                                            | UNIV NEW SOUTH WALES           |        354 | 370       | John Wiley and Sons Ltd        | nan           | Final            | Ríos-Ocampo J, 2022, SYST DYN REV, V38, P354, DOI  |       23 | Ríos-Ocampo J 2022         | Oceania                | https://www.scopus.com/pages/p | SYSTEM DYNAMICS REVIEW         | SYST DYN REV                   | Australia and New Zealand      | Using analytical equations to  | using analytical equations to  | using ANALYTICAL_EQUATIONS to  |         nan |    38 | analysis; analytical; cases; d | analysis; analytical; cases; d |   2022 |
| The presented work focuses on  | the presented work focuses on  | the_presented_work focuses on  | National Radiation Protection Institute (SÚRO), Bartoškova 1450/28, Prague, 140  | 111031           | 57210815824; 54987668900; 59701676100; 15723347900; 7801456944; 36980991200  | accident; contamination; decis | accident; contamination; decis | accident; contamination; decis | Selivanova A          | Anna Selivanova; Igor Krejčí;  | Selivanova A; Krejčí I; Sedlář | Selivanova A; Krejčí I; Sedlář | Selivanova A., National Radiation Protection Institute (SÚRO), Bartoškova 1450/2 | nan                    | RESSE   | accident; actual conditions; a | accident; actual conditions; a |         nan | nan                            | nan             | nan                            | A. Selivanova; National Radiat | Czechia                       | Czechia       | CZE                | CZE               | Scopus     | accident; accidents; actions;  | accident; accidents; actions;  | Article          | 10.1016/j.ress.2025.111031     | nan                            | 2-s2.0-105000501947 | nan                            |          nan | nan                            | Experiences and lessons learne |              nan |     3 | artificial intelligence; atmos | artificial intelligence; atmos | artificial intelligence; atmos | nan                            | 09518320 |     nan | accident; affected area; artif | accident; affected area; artif | English |              nan |     0 |            nan | state of the art; mathematical | actual conditions; affected ar | 2025 elsevier ltd; actual cond | actual conditions; agricultura | creation; system dynamics mode |        6 |       0 |       0 | nan                            | CZECH UNIV LIFE SCI PRAGUE; NATL RADIAT PROT INST                               | NATL RADIAT PROT INST          |        nan | nan       | Elsevier Ltd                   | nan           | Final            | Selivanova A, 2025, RELIAB ENG SYST SAF, V260, DOI |       24 | Selivanova A 2025          | Europe                 | https://www.scopus.com/pages/p | RELIABILITY ENGINEERING AND SY | RELIAB ENG SYST SAF            | Eastern Europe                 | Creation of a System Dynamics  | creation of a system dynamics  | CREATION of a SYSTEM_DYNAMICS_ |         nan |   260 | accident; accidents; actions;  | accident; accidents; actions;  |   2025 |
